Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
O,MRC,Hcp,JOHN DILLON STAKES,1400,,130,4,2017-01-26,120000,BARTON STAKES,,,O,VIC,,,,CAUL,
3-Y-O,TRC,SW,HOBART GUINEAS,2100,,608,4,2017-01-22,100000,HOBART GUINEAS,,,O,TAS,,,,HOB,
3YO&Up,ATC,Qlty,CARRINGTON STAKES,1400,,175,4,2017-01-21,100000,CARRINGTON STAKES,,,O,NSW,,,,RAND,
3-Y-O,GOLD COAST TC,SWP,MAGIC MILLIONS 3YO GUINEAS,1400,,750,RL,2017-01-14,2000000,MAGIC MILLIONS 3YO GUINEAS,,,O,QLD,,,,GCST,
O,GOLD COAST TC,Qlty,MAGIC MILLIONS CUP,1400,,770,RL,2017-01-14,1000000,MAGIC MILLIONS CUP,,,O,QLD,,,,GCST,
2-Y-O,GOLD COAST TC,SW,MAGIC MILLIONS 2YO CLASSIC,1200,,749,RL,2017-01-14,2000000,MAGIC MILLIONS 2YO CLASSIC,,,O,QLD,,,,GCST,
O,VRC,Hcp,CHESTER MANIFOLD STAKES,1400,,194,4,2017-01-14,120000,CHESTER MANIFOLD STAKES,,,O,VIC,,,,FLEM,
3YO&Up,WATC,Qlty,MISS ANDRETTI STAKES,1100,,633,4,2017-01-14,100000,RUABON SPRINT,,,O,WA,,,,ASCT,
O,VRC,Hcp,KENSINGTON STAKES,1000,,645,4,2017-01-14,120000,KENSINGTON STAKES,,,O,VIC,,,,FLEM,
3YO&Up,GOSFORD RC LTD,Qlty,GOSFORD GOLD CUP,2100,,284,4,2017-01-13,150000,GOSFORD GOLD CUP,,,O,NSW,,,,GOSF,
3YO&Up,GOSFORD RC LTD,Qlty,TAKEOVER TARGET STAKES,1200,,395,4,2017-01-13,100000,PACESETTER STAKES,,,O,NSW,,,,GOSF,
3YO&Up,GOSFORD RC LTD,Qlty,BELLE OF THE TURF STAKES,1600,,134,3,2017-01-13,125000,BELLE OF THE TURF STAKES,,,F&M,NSW,,,,GOSF,
3-Y-O,TTC,SW,TASMANIAN GUINEAS,1600,,499,4,2017-01-06,100000,TASMANIAN GUINEAS,,,O,TAS,,,,GCST,
O,VRC,Hcp,BAGOT HANDICAP,2800,,125,4,2017-01-01,150000,BAGOT HANDICAP,,,O,VIC,,,,FLEM,
O,VRC,Hcp,STANDISH HANDICAP,1200,,480,3,2017-01-01,150000,STANDISH HANDICAP,,,O,VIC,,,,FLEM,
3YO&Up,TATTERSALLS (NSW),Qlty,TATTERSALLS CLUB CUP,2400,,502,4,2017-01-01,100000,TATTERSALLS CLUB CUP,,,O,NSW,,,,RAND,
3-Y-O,GOLD COAST TC,SW,VO ROGUE PLATE,1350,,705,3,2016-12-31,150000,VO ROGUE PLATE,,,O,QLD,,,,GCST,
3YO&Up,WATC,SWP,LA TRICE CLASSIC,1800,,699,3,2016-12-31,150000,LA TRICE CLASSIC,,,F&M,WA,,,,ASCT,
2-Y-O,GOLD COAST TC,SW,BJ MCLACHLAN STAKES,1200,,558,3,2016-12-31,150000,BJ MCLACHLAN STAKES,,,O,QLD,,,,GCST,
O,GOLD COAST TC,Qlty,GOLDMARKET HANDICAP,1300,,640,4,2016-12-31,100000,GOLDMARKET HANDICAP,,,O,QLD,,,,GCST,
3YO&Up,ATC,Qlty,CANTERBURY CLASSIC,1200,,621,4,2016-12-31,100000,CANTERBURY CLASSIC,,,O,NSW,,,,CANT,
3YO&Up,WATC,Qlty,SUMMER SCORCHER,1000,,700,4,2016-12-31,100000,SUMMER SCORCHER,,,O,WA,,,,ASCT,
3YO&Up,WATC,Qlty,PERTH CUP,2400,,44,2,2016-12-31,500000,PERTH CUP,,,O,WA,,,,ASCT,
3YO&Up,ATC,Qlty,SUMMER CUP,2000,,488,3,2016-12-26,125000,SUMMER CUP,,,O,NSW,,,,RAND,
O,SAJC,Qlty,CHRISTMAS HANDICAP,1200,,29,4,2016-12-26,100000,CHRISTMAS HANDICAP,,,O,SA,,,,MORP,
O,MRC,Hcp,CHRISTMAS STAKES,1200,,198,4,2016-12-26,120000,CHRISTMAS STAKES,,,O,VIC,,,,CAUL,
O,MRC,Hcp,LORD STAKES,1700,,311,4,2016-12-26,120000,LORD STAKES,,,O,VIC,,,,CAUL,
O,BRC,Qlty,BERNBOROUGH HANDICAP,1600,,142,4,2016-12-24,175000,BERNBOROUGH HANDICAP,,,O,QLD,,,,DOOM,
3YO&Up,BRC,Qlty,NUDGEE QUALITY,1200,,706,4,2016-12-24,100000,NUDGEE QUALITY,,,F&M,QLD,,,,DOOM,
3UP,WATC,Hcp,A.T.A. STAKES,2200,,748,4,2016-12-24,"$100,000",,,,,WA,,,,ASCT,
O,TRC,WFA,TASMANIAN STAKES,1600,,501,4,2016-12-21,100000,TASMANIAN STAKES,,,O,TAS,,,,HOB,
2-Y-O,BRC,SW,PHELAN READY STAKES,1050,,359,4,2016-12-17,100000,PHELAN READY STAKES,,,C&G,QLD,,,,DOOM,
2-Y-O,ATC,SW,INGLIS NURSERY,1000,,940,RL,2016-12-17,500000,INGLIS NURSERY,,,O,NSW,,,,RAND,
3YO&Up,WATC,SWP,STARSTRUCK CLASSIC,1600,,614,4,2016-12-17,100000,STARSTRUCK CLASSIC,,,F&M,WA,,,,ASCT,
3YO&Up,WATC,WFA,TED VAN HEEMST STAKES,2100,,213,2,2016-12-17,250000,C B COX STKS,,,O,WA,,,,ASCT,
3-Y-O,BRC,SW,GOLD EDITION PLATE,1200,,732,4,2016-12-17,100000,GOLD EDITION PLATE,,,O,QLD,,,,DOOM,
2-Y-O,BRC,SW,CALAWAY GAL STAKES,1050,,678,4,2016-12-17,100000,CALAWAY GAL STAKES,,,F,QLD,,,,DOOM,
3YO&Up,ATC,Qlty,RAZOR SHARP HCP,1200,,619,4,2016-12-17,100000,RAZOR SHARP HANDICAP,,,O,NSW,,,,RAND,
3YO&Up,ATC,Qlty,VILLIERS STAKES,1600,,527,2,2016-12-17,250000,VILLIERS STAKES,,,O,NSW,,,,RAND,
O,BRC,Qlty,LOUGH NEAGH STAKES,1350,,235,4,2016-12-17,175000,LOUGH NEAGH STAKES,,,O,QLD,,,,DOOM,
3YO&Up,ATC,Qlty,CHRISTMAS CUP,2400,,197,4,2016-12-17,100000,CHRISTMAS CUP,,,O,NSW,,,,RAND,
4YO&Up,WATC,SWP,R.S. CRAWFORD STAKES,1000,,565,4,2016-12-10,100000,R.S. CRAWFORD STKS,,,O,WA,,,,ASCT,
3YO&Up,BRC,Qlty,JUST NOW QUALITY,1350,,664,4,2016-12-10,100000,JUST NOW QUALITY,,,F&M,QLD,,,,E FM,
O,BRC,Qlty,FALVELON QUALITY,1200,,681,4,2016-12-10,100000,FALVELON QUALITY,,,O,QLD,,,,DOOM,
3YO&Up,WATC,WFA,A.J. SCAHILL STAKES,1400,,451,3,2016-12-10,250000,A J SCAHILL STKS,,,O,WA,,,,ASCT,
O,BRC,Qlty,BRISBANE HANDICAP,1600,,155,4,2016-12-10,100000,BRISBANE HANDICAP,,,O,QLD,,,,E FM,
O,SAJC,Qlty,CITY OF MARION STAKES,1200,,201,4,2016-12-10,100000,CITY OF MARION STAKES,,,O,SA,,,,MORP,
3YO&Up,WATC,Qlty,JRA TROPHY,2200,,516,4,2016-12-10,100000,G.A. TOWTON CUP,,,O,WA,,,,ASCT,
O,TTC,WFA,CONQUERING STAKES,1400,,218,4,2016-12-07,100000,PREMIUM STAKES,,,O,TAS,,,,LAUN,
3-Y-O,BRC,SW,MODE STAKES,1200,,718,4,2016-12-03,100000,MODE STAKES,,,F,QLD,,,,E FM,
3YO&Up,WATC,SWP,JUNGLE DAWN CLASSIC,1400,,649,4,2016-12-03,100000,JUNGLE DAWN CLASSIC,,,F&M,WA,,,,ASCT,
O,PAKENHAM RC,Hcp,PAKENHAM CUP,2500,,539,4,2016-12-03,120000,WERRIBEE CUP,,,O,VIC,,,,PAK,
3-Y-O,WATC,SW,SIR ERNEST LEE-STEERE CL,1400,,465,4,2016-12-03,150000,LEE STEERE CLASSIC,,,O,WA,,,,ASCT,
3YO&Up,ATC,Qlty,ATC CUP,2000,,267,4,2016-12-03,100000,FRANK UNDERWOOD CUP,,,O,NSW,,,,RHIL,
3YO&Up,ATC,Qlty,FESTIVAL STAKES,1500,,260,3,2016-12-03,150000,FESTIVAL HCP,,,O,NSW,,,,RHIL,
3YO&Up,WATC,WFA,KINGSTON TOWN CLASSIC,1800,,438,1,2016-12-03,1000000,KINGSTON TOWN CLASSIC,,,O,WA,,,,ASCT,
O,BRC,Qlty,GEORGE MOORE STAKES,1200,,552,3,2016-12-03,200000,GEORGE MOORE STAKES,,,O,QLD,,,,E FM,
3YO&Up,ATC,Qlty,STARLIGHT STAKES,1100,,654,4,2016-12-03,100000,STARLIGHT STAKES,,,O,NSW,,,,RHIL,
3YO&Up,WATC,Qlty,TATTERSALL'S CUP,2100,,504,4,2016-11-26,100000,WATC TATTERSALL'S CUP,,,O,WA,,,,ASCT,
3YO&Up,WATC,WFA,WINTERBOTTOM STAKES,1200,,549,1,2016-11-26,1000000,WINTERBOTTOM STKS,,,O,WA,,,,ASCT,
O,TATTS RC QLD,Qlty,RECOGNITION STAKES,1600,,424,4,2016-11-26,100000,RECOGNITION STAKES,,,O,QLD,,,,E FM,
3YO&Up,TATTS RC QLD,SWP,TATTERSALL'S ARCADE CLASSIC,1200,,677,4,2016-11-26,100000,TRAVEL ASSOCIATES CLASSIC,,,F&M,QLD,,,,E FM,
O,KILMORE TC,Hcp,KILMORE CUP,1600,,323,4,2016-11-20,130000,KILMORE CUP,,,O,VIC,,,,KILM,
3YO&Up,BRC,Qlty,KEITH NOUD QUALITY,1200,,747,4,2016-11-19,100000,KEITH NOUD QUALITY,,,O,QLD,,,,E FM,
O,BALLARAT TC,Hcp,BALLARAT CUP,2200,,128,4,2016-11-19,300000,BALLARAT CUP,,,O,VIC,,,,BRAT,
3YO&Up,WATC,Qlty,RAILWAY STAKES,1600,,43,1,2016-11-19,1000000,RAILWAY STKS,,,O,WA,,,,ASCT,
4YO&Up,WATC,SWP,CARBINE OF WA STAKES,1400,,242,4,2016-11-19,100000,EASTER STKS,,,O,WA,,,,ASCT,
3-Y-O,WATC,SWP,PLACID ARK STAKES,1200,,489,4,2016-11-19,100000,PLACID ARK STKS,,,O,WA,,,,ASCT,
3YO&Up,WATC,SWP,JUNGLE MIST CLASSIC,1200,,698,4,2016-11-19,100000,JUNGLE MIST CLASSIC,,,F&M,WA,,,,ASCT,
3-Y-O,WATC,SW,W.A. GUINEAS,1600,,528,2,2016-11-19,500000,WA GUINEAS,,,O,WA,,,,ASCT,
O,TTC,Qlty,TASMANIAN NEWMARKET HCP,1200,,579,4,2016-11-16,100000,TTC NEWMARKET HANDICAP,,,O,TAS,,,,LAUN,
O,MRC,Qlty,ECLIPSE STAKES,1800,,243,3,2016-11-12,150000,ECLIPSE STAKES,,,O,VIC,,,,SAND,
O,MRC,Hcp,DOVETON STAKES,1200,,236,4,2016-11-12,120000,DOVETON STAKES,,,O,VIC,,,,SAND,
3YO&Up,WATC,Qlty,ASCOT GOLD CUP,1800,,114,4,2016-11-12,100000,ASCOT GOLD CUP,,,O,WA,,,,ASCT,
O,MRC,Hcp,SANDOWN CUP,3200,,768,4,2016-11-12,150000,SANDOWN CUP,,,O,VIC,,,,SAND,
3-Y-O,MRC,SWP,TWILIGHT GLOW STAKES,1400,,355,4,2016-11-12,120000,TWILIGHT GLOW STAKES,,,F,VIC,,,,SAND,
4YO&Up,MRC,SWP,SUMMONED STAKES,1500,,637,3,2016-11-12,150000,SUMMONED STAKES,,,M,VIC,,,,SAND,
2-Y-O,MRC,SW,MERSON COOPER STAKES,1000,,356,4,2016-11-12,120000,MERSON COOPER STAKES,,,O,VIC,,,,SAND,
3YO&Up,WATC,Hcp,R.J. PETERS STAKES,1500,,535,3,2016-11-12,150000,R J PETERS STKS,,,O,WA,,,,ASCT,
O,MRC,WFA,KEVIN HEFFERNAN STAKES,1300,,666,3,2016-11-12,150000,KEVIN HEFFERNAN STAKES,,,O,VIC,,,,SAND,
3YO&Up,WATC,SWP,COLONEL REEVES STAKES,1100,,210,3,2016-11-12,150000,COLONEL REEVES,,,O,WA,,,,ASCT,
O,MRC,Qlty,SANDOWN STAKES,1500,,208,3,2016-11-12,150000,SANDOWN STAKES,,,O,VIC,,,,SAND,
3-Y-O,WATC,SW,W.A. CHAMPION FILLIES ST,1600,,188,3,2016-11-12,200000,CHAMPION FILLIES,,,F,WA,,,,ASCT,
3-Y-O,MRC,SW,SANDOWN GUINEAS,1600,,450,2,2016-11-12,250000,SANDOWN GUINEAS,,,O,VIC,,,,SAND,
O,MRC,WFA,ZIPPING CLASSIC,2400,,449,2,2016-11-12,300000,SANDOWN CLASSIC,,,O,VIC,,,,SAND,
2-Y-O,VRC,SW,MARIBYRNONG PLATE,1000,,345,3,2016-11-05,150000,MARIBYRNONG PLATE,,,O,VIC,,,,FLEM,
3-Y-O,VRC,Hcp,HILTON HOTELS STAKES,1400,,522,4,2016-11-05,150000,VRC SPRINGTIME STAKES,,,O,VIC,,,,FLEM,
3-Y-O,WATC,SWP,FAIRETHA STAKES,1400,,256,4,2016-11-05,100000,FAIRETHA STKS,,,C&G,WA,,,,ASCT,
4YO&Up,VRC,SWP,MOMENTUM ENERGY STAKES,2000,,639,2,2016-11-05,300000,MATRIARCH STAKES,,,M,VIC,,,,FLEM,
O,VRC,WFA,MACKINNON STAKES,2000,,341,1,2016-11-05,1500000,LKS MACKINNON STAKES,,,O,VIC,,,,FLEM,
O,VRC,WFA,DARLEY CLASSIC,1200,,271,1,2016-11-05,1000000,VICTORIA RACING CLUB STKS,,,O,VIC,,,,FLEM,
3YO&Up,WATC,WFA,LEE STEERE STAKES,1400,,328,2,2016-11-05,250000,LEE STEERE STKS,,,O,WA,,,,ASCT,
O,VRC,Qlty,QUEEN ELIZABETH STAKES,2600,,413,3,2016-11-05,300000,VRC QUEEN ELIZABETH STAKES,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SW,CROWN OAKS,2500,,19,1,2016-11-03,1000000,VRC OAKS,,,F,VIC,,,,FLEM,
O,HAWKESBURY RC,Hcp,SKIN FITNESS CUP,1400,,673,4,2016-11-03,100000,SAFILO CUP,,,O,NSW,,,,HAWK,
O,VRC,Hcp,DILMAH EARL GREY STAKES,1000,,172,4,2016-11-03,150000,CENTURY STAKES,,,O,VIC,,,,FLEM,
3-Y-O,VRC,Hcp,BATMAN STAKES,1800,,252,4,2016-11-03,150000,BATMAN STAKES,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SWP,GUCCI STAKES,1200,,426,3,2016-11-03,150000,RED ROSES STAKES,,,F,VIC,,,,FLEM,
O,VRC,Hcp,YELLOWGLEN STAKES,1400,,290,3,2016-11-03,200000,CHATHAM STAKES,,,O,VIC,,,,FLEM,
O,VRC,Hcp,MELBOURNE CUP DAY PLATE,1800,,293,4,2016-11-01,150000,MELBOURNE CUP DAY PLATE,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SWP,LEXUS HYBRID STAKES,1400,,491,4,2016-11-01,150000,DESIRABLE STAKES,,,F,VIC,,,,FLEM,
O,VRC,Hcp,EMIRATES MELBOURNE CUP,3200,,1,1,2016-11-01,6000000,MELBOURNE CUP,,,O,VIC,,,,FLEM,
O,VRC,Hcp,MSS SECURITY SPRINT,1200,,745,4,2016-11-01,150000,ALWAYS WELCOME STAKES,,,O,VIC,,,,FLEM,
3-Y-O,WATC,SWP,BURGESS QUEEN STAKES,1400,,158,4,2016-11-01,100000,BURGESS QUEEN STKS,,,F,WA,,,,ASCT,
4YO&Up,VRC,SWP,HKJC STAKES,1400,,696,3,2016-11-01,200000,MAYBE MAHAL STAKES,,,M,VIC,,,,FLEM,
2-Y-O,VRC,SW,EMIRATES AIRLINE PLATE,1000,,159,3,2016-11-01,150000,OTTAWA STAKES,,,F,VIC,,,,FLEM,
O,VRC,SWP,G.H. MUMM STAKES,1100,,722,3,2016-10-29,200000,BEGONIA BELLE STAKES,,,M,VIC,,,,FLEM,
O,VRC,HCP,LINLITHGOW STAKES,1200,,334,2,2016-10-29,300000,LINLITHGOW STAKES,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SWP,WAKEFUL STAKES,2000,,531,2,2016-10-29,300000,WAKEFUL STAKES,,,F,VIC,,,,FLEM,
O,VRC,Qlty,LEXUS STAKES,2500,,222,3,2016-10-29,300000,HOTHAM HANDICAP,,,O,VIC,,,,FLEM,
3YO&Up,WATC,WFA,PRINCE OF WALES STAKES,1000,,409,3,2016-10-29,150000,PRINCE OF WALES STKS,,,O,WA,,,,ASCT,
3YO&Up,WATC,Hcp,ASIAN BEAU STAKES,1400,,135,3,2016-10-29,150000,ASIAN BEAU STKS,,,O,WA,,,,ASCT,
3YO&Up,VRC,WFA,MYER CLASSIC,1600,,560,1,2016-10-29,500000,EMPIRE ROSE STAKES,,,F&M,VIC,,,,FLEM,
3-Y-O,VRC,SW,COOLMORE STUD STAKES,1200,,117,1,2016-10-29,500000,ASCOT VALE STAKES,,,O,VIC,,,,FLEM,
O,VRC,Qlty,EMIRATES STAKES,1600,,106,1,2016-10-29,1000000,CANTALA STAKES,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SW,AAMI VICTORIA DERBY,2500,,6,1,2016-10-29,1500000,VICTORIA DERBY,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SWP,CARBINE CLUB STAKES,1600,,168,3,2016-10-29,200000,VRC CARBINE CLUB STAKES,,,O,VIC,,,,FLEM,
O,BJC,Hcp,BENDIGO CUP,2400,,141,3,2016-10-26,300000,BENDIGO CUP,,,O,VIC,,,,BEND,
2-Y-O,MVRC,SW,INGLIS BANNER,1000,,939,RL,2016-10-23,250000,INGLIS BANNER,,,O,VIC,,,,M V,
3YO&Up,NORTHAM RC,Qlty,NORTHAM CUP,1600,,733,4,2016-10-23,125000,NORTHAM CUP,,,O,WA,,,,NTHM,
O,SALE TC,Hcp,SALE CUP,1600,,758,4,2016-10-23,150000,SALE CUP,,,O,VIC,,,,SALE,
3YO&Up,MVRC,WFA,COX PLATE,2040,,2,1,2016-10-22,3000000,W S COX PLATE,,,O,VIC,,,,M V,
3-Y-O,WATC,SWP,BELGRAVIA STAKES,1200,,133,4,2016-10-22,100000,BELGRAVIA STKS,,,O,WA,,,,ASCT,
3-Y-O,MVRC,SWP,WILLIAM CROCKETT STAKES,1200,,586,4,2016-10-22,120000,WILLIAM CROCKET STAKES,,,F,VIC,,,,M V,
3-Y-O,MVRC,SW,The MV VASE,2040,,304,2,2016-10-22,200000,THE MV VASE,,,O,VIC,,,,M V,
4YO&Up,MVRC,SWP,MOONEE VALLEY GOLD CUP,2500,,368,2,2016-10-22,250000,MOONEE VALLEY GOLD CUP,,,O,VIC,,,,M V,
O,MVRC,WFA,CRYSTAL MILE,1600,,536,2,2016-10-22,200000,CRYSTAL MILE,,,O,VIC,,,,M V,
3-Y-O,MVRC,SW,MOONEE VALLEY FILLIES CLASSIC,1600,,648,2,2016-10-22,200000,MOONEE VALLEY FILLIES CLASSIC,,,F,VIC,,,,M V,
4YO&Up,MVRC,Hcp,TESIO STAKES,1600,,587,3,2016-10-22,150000,TESIO STAKES,,,M,VIC,,,,M V,
3-Y-O,MVRC,SWP,RED ANCHOR STAKES,1200,,425,3,2016-10-22,150000,RED ANCHOR STAKES,,,O,VIC,,,,M V,
O,MVRC,WFA,MANIKATO STAKES,1200,,343,1,2016-10-21,1000000,MANIKATO STAKES,,,O,VIC,,,,M V,
O,GEELONG RC,Hcp,GEELONG CUP,2400,,275,3,2016-10-19,300000,GEELONG CUP,,,O,VIC,,,,GEEL,
3YO&Up,GEELONG RC,SWP,BLACK PEARL,1200,,974,4,2016-10-19,120000,BLACK PEARL,,,F&M,VIC,,,,GEEL,
3-Y-O,GEELONG RC,SWP,GEELONG CLASSIC,2200,,231,4,2016-10-19,120000,DERBY TRIAL STAKES,,,O,VIC,,,,GEEL,
4YO&Up,MRC,SWP,MOONGA STAKES,1400,,581,3,2016-10-15,150000,MOONGA STAKES,,,O,VIC,,,,CAUL,
O,MRC,Hcp,DAVID JONES CUP,2000,,211,3,2016-10-15,150000,COONGY HANDICAP,,,O,VIC,,,,CAUL,
3-Y-O,MRC,SWP,CAULFIELD CLASSIC,2000,,384,3,2016-10-15,500000,NORMAN ROBINSON STAKES,,,O,VIC,,,,CAUL,
4YO&Up,CITY TATTS,SWP,THE NIVISON,1200,,617,3,2016-10-15,125000,THE NIVISON,,,M,NSW,,,,RAND,
3-Y-O,MRC,SWP,ETHEREAL STAKES,2000,,728,3,2016-10-15,150000,ETHEREAL STAKES,,,F,VIC,,,,CAUL,
3-Y-O,MRC,SWP,GOTHIC STAKES,1400,,354,4,2016-10-15,120000,GOTHIC STAKES,,,C&G,VIC,,,,CAUL,
3YO&Up,CITY TATTS,Hcp,CITY TATT'S CLUB CUP,2400,,202,4,2016-10-15,100000,CITY TATT'S CLUB CUP,,,O,NSW,,,,RAND,
4YO&Up,MRC,SWP,TRISTARC STAKES,1400,,561,2,2016-10-15,200000,TRISTARC STAKES,,,M,VIC,,,,CAUL,
O,MRC,Hcp,CAULFIELD SPRINT,1100,,378,2,2016-10-15,200000,CAULFIELD SPRINT,,,O,VIC,,,,CAUL,
3YO&Up,CITY TATTS,Hcp,CITY TATTS LIGHTNING HCP,1100,,203,4,2016-10-15,150000,CITY TATT'S LIGHTNING,,,O,NSW,,,,RAND,
4YO&Up,WATC,SWP,NORTHERLY STAKES,1400,,108,3,2016-10-15,150000,NORTHERLY STKS,,,O,WA,,,,ASCT,
O,SAJC,WFA,DURBRIDGE STAKES,1200,,372,4,2016-10-15,100000,DURBRIDGE STAKES,,,O,SA,,,,MORP,
O,MRC,Hcp,BMW CAULFIELD CUP,2400,,4,1,2016-10-15,3000000,CAULFIELD CUP,,,O,VIC,,,,CAUL,
3YO&Up,MRC,Hcp,ALINGHI STAKES,1100,,937,4,2016-10-15,120000,ALINGHI STAKES,,,F&M,VIC,,,,CAUL,
3-Y-O,CITY TATTS,SWP,BRIAN CROWLEY STAKES,1200,,462,4,2016-10-15,150000,BRIAN CROWLEY STAKES,,,O,NSW,,,,RAND,
4YO&Up,MRC,SWP,LADIES DAY VASE,1600,,710,3,2016-10-12,150000,LADIES DAY VASE,,,M,VIC,,,,CAUL,
O,MURR BDGE RC,Qlty,MURRAY BRIDGE GOLD CUP,1600,,338,4,2016-10-12,100000,LORD MAYORS MILE,,,O,SA,,,,MBRID,
3-Y-O,MRC,SW,BLUE SAPPHIRE STAKES,1200,,979,3,2016-10-12,350000,BLUE SAPPHIRE STAKES,,,O,VIC,,,,CAUL,
O,MRC,HCP,CAULFIELD VILLAGE STAKES,1200,,936,4,2016-10-12,120000,CAULFIELD VILLAGE STAKES,,,O,VIC,,,,CAUL,
4YO&Up,MRC,SWP,NORTHWOOD PLUME STAKES,1200,,695,3,2016-10-08,150000,NORTHWOOD PLUME STAKES,,,M,VIC,,,,CAUL,
3-Y-O,ATC,SW,SPRING CHAMPION STAKES,2000,,23,1,2016-10-08,500000,SPRING CHAMPION STAKES,,,O,NSW,,,,RAND,
3YO&Up,MRC,WFA,SCHILLACI STAKES,1100,,196,2,2016-10-08,400000,SCHILLACI STAKES,,,O,VIC,,,,CAUL,
O,MRC,Qlty,HERBERT POWER STAKES,2400,,305,2,2016-10-08,400000,HERBERT POWER STAKES,,,O,VIC,,,,CAUL,
O,MRC,HCP,BMW WEEKEND HUSSLER,1400,,935,4,2016-10-08,120000,BMW WEEKEND HUSSLER HANDICAP,,,O,VIC,,,,CAUL,
3-Y-O,SAJC,SW,HILL SMITH STAKES,1800,,309,4,2016-10-08,100000,HILL SMITH STAKES,,,O,SA,,,,MORP,
2-Y-O,MRC,SW,INGLIS DEBUTANTS STAKES,1000,,227,4,2016-10-08,120000,DEBUTANT STAKES,,,O,VIC,,,,CAUL,
3-Y-O,MRC,SW,BECK CAULFIELD GUINEAS,1600,,11,1,2016-10-08,1000000,CAULFIELD GUINEAS,,,O,VIC,,,,CAUL,
O,MRC,Hcp,TOORAK HANDICAP,1600,,245,1,2016-10-08,500000,TOORAK HANDICAP,,,O,VIC,,,,CAUL,
3YO&Up,MRC,WFA,CAULFIELD STAKES,2000,,181,1,2016-10-08,500000,CAULFIELD STAKES,,,O,VIC,,,,CAUL,
3-Y-O,MRC,SW,SCHWEPPES THOUSAND GUINEAS,1600,,510,1,2016-10-08,500000,THE THOUSAND GUINEAS,,,F,VIC,,,,CAUL,
3-Y-O,MRC,SWP,THOROUGHBRED CLUB STAKES,1200,,509,3,2016-10-08,150000,THOROUGHBRED CLUB STAKES,,,F,VIC,,,,CAUL,
4YO&Up,ATC,SWP,ANGST STAKES,1600,,618,3,2016-10-08,125000,ANGST QUALITY HCP,,,M,NSW,,,,RAND,
2-Y-O,VRC,SW,MARIBYRNONG TRIAL STAKES,1000,,346,4,2016-10-02,120000,MARIBYRNONG TRIAL STAKES,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SWP,SUPER IMPOSE PLATE,1800,,712,4,2016-10-02,120000,SUPER IMPOSE PLATE,,,O,VIC,,,,FLEM,
O,VRC,Qlty,THE BART CUMMINGS,2500,,713,3,2016-10-02,300000,THE BART CUMMINGS,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SWP,POSEIDON STAKES,1400,,205,4,2016-10-02,120000,POSEIDON STAKES,,,O,VIC,,,,FLEM,
4YO&Up,VRC,Hcp,PARIS LANE STAKES,1400,,638,4,2016-10-02,120000,PARIS LANE STAKES,,,O,VIC,,,,FLEM,
4YO&Up,VRC,SWP,ROSE OF KINGSTON STAKES,1400,,590,2,2016-10-02,200000,ROSE OF KINGSTON STAKES,,,M,VIC,,,,FLEM,
O,VRC,SWP,GILGAI STAKES,1200,,442,2,2016-10-02,200000,BAGUETTE STAKES,,,O,VIC,,,,FLEM,
3-Y-O,VRC,SW,EDWARD MANIFOLD STAKES,1600,,244,2,2016-10-02,200000,EDWARD MANIFOLD STAKES,,,F,VIC,,,,FLEM,
4YO&Up,VRC,SWP,TURNBULL STAKES,2000,,519,1,2016-10-02,500000,TURNBULL STAKES,,,O,VIC,,,,FLEM,
3YO&Up,ATC,WFA,PREMIERE STAKES,1200,,407,2,2016-10-01,300000,PREMIERE STAKES,,,O,NSW,,,,RAND,
3YO&Up,ATC,Hcp,EPSOM HCP,1600,,14,1,2016-10-01,1000000,EPSOM HANDICAP,,,O,NSW,,,,RAND,
3-Y-O,ATC,SW,ROMAN CONSUL STAKES,1200,,433,2,2016-10-01,300000,ROMAN CONSUL STKS,,,O,NSW,,,,RAND,
4YO&Up,WATC,SWP,BIRTHDAY STAKES,1200,,144,4,2016-10-01,100000,BIRTHDAY STKS,,,O,WA,,,,BLMT,
3YO&Up,ATC,Hcp,THE METROPOLITAN,2400,,16,1,2016-10-01,750000,THE METROPOLITAN,,,O,NSW,,,,RAND,
3-Y-O,ATC,SW,FLIGHT STAKES,1600,,261,1,2016-10-01,500000,FLIGHT STAKES,,,F,NSW,,,,RAND,
2-Y-O,ATC,SW,BREEDERS' PLATE,1000,,153,4,2016-10-01,150000,BREEDERS PLATE,,,C&G,NSW,,,,RAND,
2-Y-O,ATC,SW,GIMCRACK STAKES,1000,,279,4,2016-10-01,150000,AJC GIMCRACK STKS,,,F,NSW,,,,RAND,
O,ATC,WFA,CRAVEN PLATE,2000,,216,3,2016-10-01,125000,CRAVEN PLATE,,,O,NSW,,,,RAND,
