Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
2YO&Up,WATC,,BEAUFINE STAKES,1000,,577,4,2019-06-08,100000,BEAUFINE STKS,,,O,WA,,,Qlty,BLMT,
O,BRC,,DANE RIPPER STAKES,1400,,669,2,2019-06-08,200000,DANE RIPPER STAKES,,,F&M,QLD,,,SWP,E FM,
3YO&Up,BRC,,HINKLER HANDICAP,1200,,246,4,2019-06-08,100000,HINKLER HANDICAP,,,O,QLD,,,Qlty,E FM,
3YO&Up,BRC,,THE WAYNE WILSON,1600,,410,4,2019-06-08,100000,THE WAYNE WILSON,,,O,QLD,,,SWP,E FM,
3-Y-O,BRC,,DAYBREAK LOVER,1200,,689,4,2019-06-08,125000,DAYBREAK LOVER,,,O,QLD,,,SWP,E FM,
O,BRC,,LIGHTNING HANDICAP,1000,,483,4,2019-06-01,100000,LIGHTNING HANDICAP,,,O,QLD,,,Qlty,E FM,
O,BRC,,QUEENSLAND OAKS,2400,,35,1,2019-06-01,500000,QUEENSLAND OAKS,,,O,QLD,,,Qlty,E FM,
O,BRC,,P J O'SHEA STAKES,2200,,385,2,2019-06-01,200000,P J O'SHEA STAKES,,,O,QLD,,,WFA,E FM,
O,BRC,,MORETON CUP,1300,,110,2,2019-06-01,175000,MORETON CUP,,,O,QLD,,,Qlty,E FM,
2-Y-O,BRC,,THE PHOENIX,1600,,419,4,2019-06-01,100000,THE PHOENIX,,,O,QLD,,,SW,E FM,
O,BRC,,SPEAR CHIEF HANDICAP,1500,,578,4,2019-06-01,100000,SPEAR CHIEF HANDICAP,,,O,QLD,,,Hcp,E FM,
2-Y-O,BRC,,OXLADE STAKES,1200,,602,4,2019-06-01,100000,OXLADE STAKES,,,O,QLD,,,SW,E FM,
3YO&Up,BRC,,HELEN COUGHLIN STAKES,1200,,685,4,2019-06-01,100000,HELEN COUGHLIN STAKES,,,F&M,QLD,,,Qlty,E FM,
2YO&Up,WATC,,BELMONT SPRINT,1400,,140,3,2019-06-01,150000,BELMONT SPRINT,,,O,WA,,,WFA,BLMT,
3-Y-O,BRC,,FRED BEST CLASSIC,1400,,212,3,2019-05-25,150000,FRED BEST CLASSIC,,,O,QLD,,,SW,E FM,
3YO&Up,ATC,,W J MCKELL CUP,2400,,351,4,2019-05-25,140000,W J MCKELL CUP,,,O,NSW,,,Qlty,RAND,
O,BRC,,KINGSFORD-SMITH CUP,1300,,514,1,2019-05-25,700000,BTC CUP,,,O,QLD,,,Qlty,E FM,
2-Y-O,BRC,,BRC SIRES' PRODUCE,1400,,37,2,2019-05-25,250000,BRC SIRES' PRODUCE,,,O,QLD,,,SW,E FM,
O,BRC,,PREMIER'S CUP,2200,,408,3,2019-05-25,125000,PREMIER'S CUP,,,O,QLD,,,Qlty,E FM,
