MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
05-Aug-17,362,2,NSW,ATC,RAND,MISSILE STAKES,1200,175000,3YO&Up,O,WFA,MISSILE STAKES
06-Aug-17,636,3,VIC,MRC,SAND,BLETCHINGLY STAKES,1200,150000,O,O,WFA,BLETCHINGLY STAKES
12-Aug-17,726,4,NSW,ATC,RHIL,THE ROSEBUD,1200,150000,3-Y-O,O,Qlty,THE ROSEBUD
12-Aug-17,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP
12-Aug-17,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,100000,3YO&Up,O,Qlty,BELMONT NEWMARKET
17-Aug-17,716,4,NSW,HAWKESBURY RC,HAWK,ROWLEY MILE,1600,100000,O,O,Hcp,ROWLEY MILE
19-Aug-17,534,2,NSW,ATC,RAND,WARWICK STAKES,1400,250000,3YO&Up,O,WFA,WARWICK STAKES
19-Aug-17,460,2,NSW,ATC,RAND,SILVER SHADOW STAKES,1200,175000,3-Y-O,F,SWP,SILVER SHADOW STAKES
19-Aug-17,523,3,NSW,ATC,RAND,UP AND COMING STAKES,1300,125000,3-Y-O,O,Qlty,UP AND COMING STAKES
19-Aug-17,611,3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,1200,125000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY
19-Aug-17,626,3,NSW,ATC,RAND,TOY SHOW F-&-M QLTY HCP,1300,125000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY
19-Aug-17,472,3,SA,SAJC,MORP,DAVID COLES AM SPRING STAKES,1200,120000,O,O,WFA,SPRING STAKES
19-Aug-17,335,2,VIC,MRC,CAUL,P.B.LAWRENCE STAKES,1400,200000,3YO&Up,O,WFA,J J LISTON STAKES
19-Aug-17,604,3,VIC,MRC,CAUL,VAIN STAKES,1100,150000,3-Y-O,C&G,SWP,VAIN STAKES
