MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
28/07/2012,636,3,VIC,MRC,CAUL,BLETCHINGLY STAKES,1200,125000,O,O,WFA,BLETCHINGLY STAKES
11/08/2012,362,3,NSW,ATC,W FM,MISSILE STAKES,1200,125000,3YO&Up,O,WFA,MISSILE STAKES
11/08/2012,726,4,NSW,ATC,W FM,THE ROSEBUD,1200,100000,3-Y-O,O,Qlty,THE ROSEBUD
11/08/2012,472,3,SA,SAJC,MORP,SPRING STAKES,1200,115000,O,O,WFA,SPRING STAKES
11/08/2012,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP
11/08/2012,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,80000,3YO&Up,O,Qlty,BELMONT NEWMARKET
18/08/2012,446,3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100,125000,3-Y-O,O,SWP,SAN DOMENICO STAKES
18/08/2012,654,4,NSW,ATC,RHIL,STARLIGHT STAKES,1100,100000,3YO&Up,O,Qlty,STARLIGHT STAKES
18/08/2012,335,2,VIC,MRC,CAUL,P.B.LAWRENCE STAKES,1400,220000,3YO&Up,O,WFA,J J LISTON STAKES
18/08/2012,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,150000,4YO&Up,M,SWP,W W COCKRAM STAKES
18/08/2012,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,120000,3YO&Up,O,Hcp,REGAL ROLLER STAKES
18/08/2012,613,4,VIC,MRC,CAUL,QUEZETTE STAKES,1100,120000,3-Y-O,F,SWP,QUEZETTE STAKES
18/08/2012,604,4,VIC,MRC,CAUL,VAIN STAKES,1100,120000,3-Y-O,C&G,SWP,VAIN STAKES
25/08/2012,534,2,NSW,ATC,WFM,WARWICK STAKES,1400,175000,3YO&Up,O,WFA,WARWICK STAKES
25/08/2012,523,3,NSW,ATC,WFM,UP AND COMING STAKES,1300,125000,3-Y-O,O,Qlty,UP AND COMING STAKES
25/08/2012,460,3,NSW,ATC,WFM,SILVER SHADOW STAKES,1200,125000,3-Y-O,F,SWP,SILVER SHADOW STAKES
25/08/2012,626,4,NSW,ATC,WFM,TOY SHOW F-&-M QLTY HCP,1300,100000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY
25/08/2012,611,4,NSW,ATC,WFM,SHOW COUNTY QUALITY HCP,1200,100000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY
25/08/2012,249,4,SA,SAJC,MORPP,PENNY EDITION STAKES,1400,80000,O,O,WFA,PENNY EDITION STAKES
25/08/2012,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,120000,3-Y-O,C&G,SWP,MITCHELL McKENZIE STAKES
25/08/2012,741,4,VIC,MVRC,MV,MVRC FUTURE STARS SPRINT,1000,120000,3YO&Up,O,SWP,MVRC FUTURE STARS SPRINT
