MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
21/08/2010,586,4,VIC,MVRC,M V,WILLIAM CROCKETT STAKES,1200,100000,3-Y-O,F,SWP,WILLIAM CROCKET STAKES,DUTCHY LASS,CRISTALLO,PARISIAN SUNRISE
21/08/2010,591,4,WA,WATC,BLMT,GOODWOOD SPRINT,1300,75000,3YO&Up,O,WFA,WATC GOODWOOD SPRINT,IDYLLIC PRINCE,FOXY BOY,GONDORFF
21/08/2010,611,4,NSW,AJC,RAND,SHOW COUNTY QUALITY HCP,1200,100000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY,KENNY'S WORLD,PINWHEEL,SACRED CHOICE
21/08/2010,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,100000,3-Y-O,C&G,,MITCHELL McKENZIE STAKES,ANACHEEVA,THE RUFFIAN,BULLBARS
21/08/2010,626,4,NSW,AJC,RAND,TOY SHOW F-&-M QLTY HCP,1300,100000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY,ILLUMINATES,VINTEDGE,SPIRITED ONE
28/08/2010,670,1,NSW,STC,RHIL,GOLDEN ROSE STAKES,1400,1000000,3-Y-O,O,SW,GOLDEN ROSE STAKES,TOORAK TOFF,SQAUMOSA,ILOVETHISCITY
28/08/2010,353,2,VIC,MRC,CAUL,MEMSIE STAKES,1400,200000,3YO&Up,O,WFA,MEMSIE STAKES,SO YOU THINK,WHOBEGOTYOU,SHOOT OUT
28/08/2010,588,3,NSW,STC,RHIL,CONCORDE STAKES,1100,125000,3YO&Up,O,Qlty,CONCORDE STAKES,REWARD FOR EFFORT,WINTER KING,TRUSTING
28/08/2010,597,3,VIC,MRC,CAUL,HDF MCNEIL STAKES,1200,125000,3-Y-O,O,SWP,H.D.F. McNEIL STAKES,SISTINE ANGEL,SERVANT,INTENCION
28/08/2010,249,4,SA,SAJC,MORP,PENNY EDITION STAKES,1400,80000,O,O,WFA,PENNY EDITION STAKES,SPACE CRAFT,MAGICAL PEARL,VIKING TURF BELLE
28/08/2010,301,4,VIC,MRC,CAUL,D'URBAN QUALITY STAKES,1700,100000,O,O,Hcp,HEATHERLIE HANDICAP,MOUDRE,DIGGERSANDDEALERS,APPREHEND
28/08/2010,434,4,NSW,STC,RHIL,PREMIER'S CUP,1800,100000,3YO&Up,O,Qlty,PREMIER'S CUP,SNOW ALERT,SCOUTING WIDE,ABITOFADO
28/08/2010,663,4,NSW,STC,RHIL,SHERACO STAKES,1100,100000,3YO&Up,F&M,Qlty,SHERACO STAKES,MORE JOYOUS,GIRL HUSSLER,SISTER MADLY
28/08/2010,694,4,VIC,MRC,CAUL,THE HEATH 1100,1100,100000,O,O,SWP,THE HEATH 1100,IM A HUSSY,CHARLIE'S QUEEN,BIG SPIRIT
1/09/2010,568,4,SA,BALAKLAVA RC,BKVA,BALAKLAVA CUP,1600,80000,O,O,Qlty,BALAKLAVA CUP,HADDLE MCDADDLE,SILENT SOPHIA,XAIETA
3/09/2010,595,4,NSW,WYONG RC,WYNG,WYONG GOLD CUP,2100,120000,O,O,Qlty,WYONG GOLD CUP,BRASILERIA,ONCE WERE WILD,VINTEDGE
3/09/2010,671,4,NSW,WYONG RC,WYNG,MONA LISA STAKES,1350,100000,O,F&M,SWP,MONA LISA STAKES,HAWK ISLAND,SNOW ALERT,MUSIC REVIEW
4/09/2010,145,2,VIC,VRC,FLEM,DANEHILL STAKES,1200,250000,3-Y-O,O,SWP,DANEHILL STAKES,SOUL,BUFFERING,GENERAL TRUCE
4/09/2010,192,2,NSW,TATTS (NSW),RAND,CHELMSFORD STAKES,1600,175000,3YO&Up,O,WFA,CHELMSFORD STAKES,THESEO,METAL BENDER,PURPLE
4/09/2010,214,2,VIC,VRC,FLEM,MAKYBE DIVA STAKES,1600,400000,O,O,WFA,MAKYBE DIVA STAKES,SHOCKING,HEART OF DREAMS,VIGOR
4/09/2010,270,2,NSW,TATTS (NSW),RAND,FURIOUS STAKES,1400,175000,3-Y-O,F,SW,FURIOUS STAKES,MORE STRAWBERRIES,DIVORCES,PARABLES
4/09/2010,360,2,VIC,VRC,FLEM,LET'S ELOPE STAKES,1400,200000,4YO&Up,M,SWP,MILADY STAKES,NO EVIDENCE NEEDED,RESPONSE,LIVE IN SIN
4/09/2010,150,3,VIC,VRC,FLEM,BOBBIE LEWIS QUALITY,1200,200000,4YO&Up,O,Qlty,BOBBIE LEWIS QUALITY,DOUBTFUL JACK,BETROIS,ABOUT READY
