MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,WINNER,SECOND,THIRD
12/09/2009,508,4,SA,SAJC,MORP,TOKYO CITY CUP,1600,70000,O,O,Qlty,TOKYO CITY CUP,DYNAMIC HERO,FINNISS STORM,BLUE MAGGICH
12/09/2009,550,4,SA,SAJC,MORP,W H WYLIE HANDICAP,1100,70000,O,O,Qlty,W H WYLIE HANDICAP,VERY DISCREET,AUGUSTA PROUD,LA GOULUE
13/09/2009,609,4,WA,KALG-BOU RC,KALG,BOULDERS CUP,1760,100000,O,O,Qlty,BOULDER CUP,REVEREND LOVEJOY,GONDOFF,IMPACT RATING
16/09/2009,473,3,NSW,NEWCASTLE JC,NCLE,SPRING STAKES,1600,175000,3-Y-O,O,SW,NJC 3YO SPRING STAKES,LOVEMELIKEAROCK,VIKING LEGEND,EUPHEMISM
16/09/2009,160,3,NSW,NEWCASTLE JC,NCLE,CAMERON HCP,1300,140000,O,O,Hcp,CAMERON HANDICAP,ABSOLUTELYFABULOUS,BLACK PIRANHA,MCCLINTOCK
16/09/2009,296,4,WA,KALG-BOU RC,KALG,HANNAN'S HANDICAP,1400,120000,O,O,Qlty,HANNANS HANDICAP,MCLURCH,ORAYA GOLD,TUDOR LAD
17/09/2009,381,3,NSW,NEWCASTLE JC,NCLE,NEWCASTLE CUP,2300,185000,O,O,Hcp,NEWCASTLE GOLD CUP,STREETFIGHTER,LODGE THE DEEDS,ENZEDEX EAGLE
17/09/2009,672,4,NSW,NEWCASTLE JC,NCLE,TIBBIE STAKES,1400,100000,O,F&M,SWP,TIBBIE PLATE,MOTI,PATRONYME,ILLUMINATES
19/09/2009,348,1,VIC,MRC,CAUL,DUBAI RACING CLUB CUP,1400,350000,O,O,Hcp,INVITATION STAKES,TURFFONTEIN,STICKPIN,RAFFAELLO
19/09/2009,521,1,VIC,MRC,CAUL,UNDERWOOD STAKES,1800,350000,3YO&Up,O,WFA,UNDERWOOD STAKES,HEART OF DREAMS,WHOBEGOTYOU,PREDATORY PRICER
19/09/2009,308,2,NSW,STC,RHIL,HILL STAKES,1900,150000,3YO&Up,O,WFA,HILL STAKES,MISS MARIELLE,PACINO,ROMAN EMPEROR
