MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
27-Aug-16,353,1,VIC,MRC,CAUL,MEMSIE STAKES,1400,500000,3YO&Up,O,WFA,MEMSIE STAKES
10-Sep-16,214,1,VIC,VRC,FLEM,MAKYBE DIVA STAKES,1600,500000,O,O,WFA,MAKYBE DIVA STAKES
10-Sep-16,670,1,NSW,ATC,RHIL,GOLDEN ROSE STAKES,1400,1000000,3-Y-O,O,SW,GOLDEN ROSE STAKES
17-Sep-16,276,1,NSW,ATC,RAND,GEORGE MAIN STAKES,1600,500000,3YO&Up,O,WFA,GEORGE MAIN STAKES
24-Sep-16,348,1,VIC,MRC,CAUL,SIR RUPERT CLARKE STAKES,1400,500000,O,O,Hcp,INVITATION STAKES
24-Sep-16,521,1,VIC,MRC,CAUL,UNDERWOOD STAKES,1800,500000,3YO&Up,O,WFA,UNDERWOOD STAKES
30-Sep-16,363,1,VIC,MVRC,M V,A.J. MOIR STAKES,1000,500000,O,O,WFA,A.J. MOIR STAKES
01-Oct-16,14,1,NSW,ATC,RAND,EPSOM HCP,1600,1000000,3YO&Up,O,Hcp,EPSOM HANDICAP
01-Oct-16,16,1,NSW,ATC,RAND,THE METROPOLITAN,2400,750000,3YO&Up,O,Hcp,THE METROPOLITAN
01-Oct-16,261,1,NSW,ATC,RAND,FLIGHT STAKES,1600,500000,3-Y-O,F,SW,FLIGHT STAKES
02-Oct-16,519,1,VIC,VRC,FLEM,TURNBULL STAKES,2000,500000,4YO&Up,O,SWP,TURNBULL STAKES
08-Oct-16,11,1,VIC,MRC,CAUL,BECK CAULFIELD GUINEAS,1600,1000000,3-Y-O,O,SW,CAULFIELD GUINEAS
08-Oct-16,23,1,NSW,ATC,RAND,SPRING CHAMPION STAKES,2000,500000,3-Y-O,O,SW,SPRING CHAMPION STAKES
08-Oct-16,181,1,VIC,MRC,CAUL,CAULFIELD STAKES,2000,500000,3YO&Up,O,WFA,CAULFIELD STAKES
08-Oct-16,245,1,VIC,MRC,CAUL,TOORAK HANDICAP,1600,500000,O,O,Hcp,TOORAK HANDICAP
08-Oct-16,510,1,VIC,MRC,CAUL,SCHWEPPES THOUSAND GUINEAS,1600,500000,3-Y-O,F,SW,THE THOUSAND GUINEAS
15-Oct-16,4,1,VIC,MRC,CAUL,BMW CAULFIELD CUP,2400,3000000,O,O,Hcp,CAULFIELD CUP
21-Oct-16,343,1,VIC,MVRC,M V,MANIKATO STAKES,1200,1000000,O,O,WFA,MANIKATO STAKES
22-Oct-16,2,1,VIC,MVRC,M V,COX PLATE,2040,3000000,3YO&Up,O,WFA,W S COX PLATE
29-Oct-16,6,1,VIC,VRC,FLEM,AAMI VICTORIA DERBY,2500,1500000,3-Y-O,O,SW,VICTORIA DERBY
29-Oct-16,106,1,VIC,VRC,FLEM,EMIRATES STAKES,1600,1000000,O,O,Qlty,CANTALA STAKES
29-Oct-16,117,1,VIC,VRC,FLEM,COOLMORE STUD STAKES,1200,500000,3-Y-O,O,SW,ASCOT VALE STAKES
29-Oct-16,560,1,VIC,VRC,FLEM,MYER CLASSIC,1600,500000,3YO&Up,F&M,WFA,EMPIRE ROSE STAKES
