MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
3/08/2013,737,4,NSW,ATC,RHIL,WINTER CHALLENGE,1500,100000,3YO&Up,O,Qlty,WINTER CHALLENGE
10/08/2013,362,3,NSW,ATC,RAND,MISSILE STAKES,1200,125000,O,O,WFA,MISSILE STAKES
10/08/2013,726,4,NSW,ATC,RAND,THE ROSEBUD,1200,100000,3-Y-O,O,Qlty,THE ROSEBUD
10/08/2013,472,3,SA,SAJC,MORP,SPRING STAKES,1200,115000,O,O,WFA,SPRING STAKES
10/08/2013,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP
10/08/2013,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,80000,3YO&Up,O,Qlty,BELMONT NEWMARKET
17/08/2013,446,3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100,125000,3-Y-O,O,SWP,SAN DOMENICO STAKES
17/08/2013,335,2,VIC,MRC,CAUL,P.B.LAWRENCE STAKES,1400,220000,3YO&Up,O,WFA,J J LISTON STAKES
17/08/2013,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,150000,4YO&Up,M,SWP,W W COCKRAM STAKES
17/08/2013,604,3,VIC,MRC,CAUL,VAIN STAKES,1100,120000,3-Y-O,C&G,SWP,VAIN STAKES
17/08/2013,613,3,VIC,MRC,CAUL,QUEZETTE STAKES,1100,120000,3-Y-O,F,SWP,QUEZETTE STAKES
17/08/2013,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,120000,3YO&Up,O,Hcp,REGAL ROLLER STAKES
22/08/2013,297,3,NSW,HAWKESBURY RC,HAWK,HAWKESBURY GOLD CUP,1600,150000,3YO&Up,O,Hcp,HAWKESBURY GOLD CUP
24/08/2013,534,2,NSW,ATC,WFM,WARWICK STAKES,1400,175000,3YO&Up,O,WFA,WARWICK STAKES
24/08/2013,460,2,NSW,ATC,WFM,SILVER SHADOW STAKES,1200,175000,3-Y-O,F,SWP,SILVER SHADOW STAKES
24/08/2013,523,3,NSW,ATC,WFM,UP AND COMING STAKES,1300,125000,3-Y-O,O,Qlty,UP AND COMING STAKES
24/08/2013,611,3,NSW,ATC,WFM,SHOW COUNTY QUALITY HCP,1200,125000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY
24/08/2013,626,3,NSW,ATC,WFM,TOY SHOW F-&-M QLTY HCP,1300,125000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY
24/08/2013,249,4,SA,SAJC,MORPP,PENNY EDITION STAKES,1400,80000,O,O,WFA,PENNY EDITION STAKES
24/08/2013,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,120000,3-Y-O,C&G,SWP,MITCHELL McKENZIE STAKES
24/08/2013,741,4,VIC,MVRC,M V,CARLYON STAKES,1000,120000,4YO&Up,O,SWP,SPRING PREVIEW
