MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
30/07/2011,636,3,VIC,MRC,CAUL,BLETCHINGLY STAKES,1200,125000,O,O,WFA,BLETCHINGLY STAKES
6/08/2011,726,4,NSW,ATC,RAND,THE ROSEBUD,1200,100000,3-Y-O,O,Qlty,THE ROSEBUD
6/08/2011,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP
6/08/2011,472,3,SA,SAJC,MORP,SPRING STAKES,1200,115000,O,O,WFA,SPRING STAKES
6/08/2011,362,3,NSW,ATC,RAND,MISSILE STAKES,1200,125000,3YO&Up,O,WFA,MISSILE STAKES
6/08/2011,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,80000,3YO&Up,O,Qlty,BELMONT NEWMARKET
13/08/2011,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,100000,3YO&Up,O,Hcp,REGAL ROLLER STAKES
13/08/2011,654,4,NSW,ATC,RHIL,STARLIGHT STAKES,1100,100000,3YO&Up,O,Qlty,STARLIGHT STAKES
13/08/2011,613,4,VIC,MRC,CAUL,QUEZETTE STAKES,1100,100000,3-Y-O,F,SWP,QUEZETTE STAKES
13/08/2011,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,125000,4YO&Up,M,SWP,W W COCKRAM STAKES
13/08/2011,604,4,VIC,MRC,CAUL,VAIN STAKES,1100,100000,3-Y-O,C&G,SWP,VAIN STAKES
13/08/2011,446,3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100,125000,3-Y-O,O,SWP,SAN DOMENICO STAKES
13/08/2011,335,2,VIC,MRC,CAUL,P.B.LAWRENCE STAKES,1400,200000,3YO&Up,O,WFA,J J LISTON STAKES
20/08/2011,626,4,NSW,ATC,WFM,TOY SHOW F-&-M QLTY HCP,1300,100000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY
20/08/2011,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,100000,3-Y-O,C&G,SWP,MITCHELL McKENZIE STAKES
20/08/2011,611,4,NSW,ATC,WFM,SHOW COUNTY QUALITY HCP,1200,100000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY
20/08/2011,591,4,WA,WATC,BLMT,GOODWOOD SPRINT,1300,80000,3YO&Up,O,WFA,WATC GOODWOOD SPRINT
