MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
02-Aug-14,737,4,NSW,ATC,RHIL,WINTER CHALLENGE,1500,100000,3YO&Up,O,Qlty,WINTER CHALLENGE
09-Aug-14,362,2,NSW,ATC,RAND,MISSILE STAKES,1200,175000,3YO&Up,O,WFA,MISSILE STAKES
09-Aug-14,726,4,NSW,ATC,RAND,THE ROSEBUD,1200,100000,3-Y-O,O,Qlty,THE ROSEBUD
09-Aug-14,472,3,SA,SAJC,MORP,DAVID COLES AM SPRING STAKES,1200,115000,O,O,WFA,SPRING STAKES
09-Aug-14,693,3,VIC,VRC,FLEM,AURIE'S STAR HANDICAP,1200,150000,O,O,Hcp,AURIE'S STAR HANDICAP
09-Aug-14,137,4,WA,WATC,BLMT,BELMONT NEWMARKET,1200,100000,3YO&Up,O,Qlty,BELMONT NEWMARKET
16-Aug-14,446,3,NSW,ATC,RHIL,SAN DOMENICO STAKES,1100,125000,3-Y-O,O,SWP,SAN DOMENICO STAKES
16-Aug-14,335,2,VIC,MRC,CAUL,P.B.LAWRENCE STAKES,1400,200000,3YO&Up,O,WFA,J J LISTON STAKES
16-Aug-14,613,3,VIC,MRC,CAUL,QUEZETTE STAKES,1100,150000,3-Y-O,F,SWP,QUEZETTE STAKES
16-Aug-14,604,3,VIC,MRC,CAUL,VAIN STAKES,1100,150000,3-Y-O,C&G,SWP,VAIN STAKES
16-Aug-14,727,4,VIC,MRC,CAUL,REGAL ROLLER STAKES,1200,120000,3YO&Up,O,Hcp,REGAL ROLLER STAKES
21-Aug-14,716,4,NSW,HAWKESBURY RC,HAWK,ROWLEY MILE,1600,100000,O,O,Hcp,ROWLEY MILE
23-Aug-14,460,2,NSW,ATC,RAND,SILVER SHADOW STAKES,1200,175000,3-Y-O,F,SWP,SILVER SHADOW STAKES
23-Aug-14,534,2,NSW,ATC,RAND,WARWICK STAKES,1400,175000,3YO&Up,O,WFA,WARWICK STAKES
23-Aug-14,611,3,NSW,ATC,RAND,SHOW COUNTY QUALITY HCP,1200,125000,3YO&Up,O,Qlty,SHOW COUNTY QUALITY
23-Aug-14,626,3,NSW,ATC,RAND,TOY SHOW F-&-M QLTY HCP,1300,125000,3YO&Up,F&M,Qlty,TOY SHOW QUALITY
23-Aug-14,523,3,NSW,ATC,RAND,UP AND COMING STAKES,1300,125000,3-Y-O,O,Qlty,UP AND COMING STAKES
23-Aug-14,249,4,SA,SAJC,MORPP,PENNY EDITION STAKES,1400,80000,O,O,WFA,PENNY EDITION STAKES
23-Aug-14,741,4,VIC,MVRC,M V,CARLYON STAKES,1000,120000,4YO&Up,O,SWP,SPRING PREVIEW
23-Aug-14,612,4,VIC,MVRC,M V,MITCHELL MCKENZIE STAKES,1200,120000,3-Y-O,C&G,SWP,MITCHELL McKENZIE STAKES
23-Aug-14,591,4,WA,WATC,BLMT,GOODWOOD SPRINT,1300,100000,3YO&Up,O,WFA,WATC GOODWOOD SPRINT
30-Aug-14,704,3,NSW,ATC,RHIL,THE RUN TO THE ROSE,1200,125000,3-Y-O,O,SWP,THE RUN TO THE ROSE
30-Aug-14,434,4,NSW,ATC,RHIL,PREMIER'S CUP,1800,100000,3YO&Up,O,Qlty,PREMIER'S CUP
30-Aug-14,353,1,VIC,MRC,CAUL,MEMSIE STAKES,1400,400000,3YO&Up,O,WFA,MEMSIE STAKES
30-Aug-14,597,3,VIC,MRC,CAUL,HDF MCNEIL STAKES,1200,150000,3-Y-O,O,SWP,H.D.F. McNEIL STAKES
30-Aug-14,694,3,VIC,MRC,CAUL,THE HEATH 1100,1100,150000,O,O,SWP,THE HEATH 1100
30-Aug-14,605,3,VIC,MRC,CAUL,W W COCKRAM STAKES,1200,150000,4YO&Up,M,SWP,W W COCKRAM STAKES
30-Aug-14,301,4,VIC,MRC,CAUL,HEATHERLIE STAKES,1700,120000,O,O,Hcp,HEATHERLIE STAKES
03-Sep-14,568,4,SA,BALAKLAVA RC,BKVA,BALAKLAVA CUP,1600,80000,O,O,Qlty,BALAKLAVA CUP
05-Sep-14,671,4,NSW,WYONG RC,WYNG,MONA LISA STAKES,1350,100000,O,F&M,SWP,MONA LISA STAKES
05-Sep-14,595,4,NSW,WYONG RC,WYNG,WYONG GOLD CUP,2100,125000,O,O,Qlty,WYONG GOLD CUP
06-Sep-14,192,2,NSW,TATTERSALLS (NSW),RAND,CHELMSFORD STAKES,1600,175000,3YO&Up,O,WFA,CHELMSFORD STAKES
06-Sep-14,270,2,NSW,TATTERSALLS (NSW),RAND,FURIOUS STAKES,1200,175000,3-Y-O,F,SW,FURIOUS STAKES
06-Sep-14,517,2,NSW,TATTERSALLS (NSW),RAND,TRAMWAY HCP,1400,175000,3YO&Up,O,SWP,TRAMWAY HANDICAP
06-Sep-14,588,3,NSW,TATTERSALLS (NSW),RAND,CONCORDE STAKES,1000,125000,3YO&Up,O,SWP,CONCORDE STAKES
06-Sep-14,166,3,NSW,TATTERSALLS (NSW),RAND,MING DYNASTY QUALITY HCP,1400,125000,3-Y-O,O,Qlty,MING DYNASTY QUALITY HCP
06-Sep-14,651,2,VIC,MVRC,M V,MCEWEN STAKES,1000,200000,O,O,WFA,IAN McEWEN TROPHY
06-Sep-14,258,2,VIC,MVRC,M V,DATO' TAN CHIN NAM STAKES,1600,250000,O,O,WFA,JOHN F FEEHAN STAKES
06-Sep-14,934,4,VIC,MVRC,M V,CHANDLER MACLEOD STAKES,1200,120000,O,O,HCP,CHANDLER MACLEOD STAKES
06-Sep-14,257,4,WA,WATC,BLMT,FARNLEY STAKES,1400,100000,3YO&Up,O,Qlty,FARNLEY STKS
13-Sep-14,670,1,NSW,ATC,RHIL,GOLDEN ROSE STAKES,1400,1000000,3-Y-O,O,SW,GOLDEN ROSE STAKES
13-Sep-14,507,2,NSW,ATC,RHIL,THEO MARKS STAKES,1400,200000,3YO&Up,O,Qlty,THEO MARKS STAKES
13-Sep-14,324,3,NSW,ATC,RHIL,KINGSTON TOWN STAKES,2000,125000,3YO&Up,O,Qlty,KINGSTON TOWN STAKES
13-Sep-14,663,3,NSW,ATC,RHIL,SHERACO STAKES,1200,125000,3YO&Up,F&M,SWP,SHERACO STAKES
13-Sep-14,373,4,SA,SAJC,MORP,LINDSAY PARK GUINEAS,1600,80000,3-Y-O,F,SW,MORPHETTVILLE GUINEAS
13-Sep-14,214,1,VIC,VRC,FLEM,MAKYBE DIVA STAKES,1600,400000,O,O,WFA,MAKYBE DIVA STAKES
13-Sep-14,145,2,VIC,VRC,FLEM,DANEHILL STAKES,1200,200000,3-Y-O,O,SWP,DANEHILL STAKES
13-Sep-14,360,2,VIC,VRC,FLEM,LET'S ELOPE STAKES,1400,200000,4YO&Up,M,SWP,MILADY STAKES
13-Sep-14,150,3,VIC,VRC,FLEM,BOBBIE LEWIS QUALITY,1200,150000,4YO&Up,O,Qlty,BOBBIE LEWIS QUALITY
13-Sep-14,739,4,VIC,VRC,FLEM,CAP D'ANTIBES STAKES,1100,120000,3-Y-O,F,SWP,CAP D'ANTIBES STAKES
13-Sep-14,720,4,VIC,VRC,FLEM,EXFORD PLATE,1400,120000,3-Y-O,O,SWP,EXFORD PLATE
13-Sep-14,933,4,VIC,VRC,FLEM,TONTONAN STAKES,1400,120000,4YO&Up,O,HCP,TONTONAN STAKES
14-Sep-14,609,4,WA,KALG-BOU RC,KALG,BOULDER CUP,1760,110000,O,O,Qlty,BOULDER CUP
17-Sep-14,160,3,NSW,NEWCASTLE JC,NCLE,CAMERON HCP,1500,125000,O,O,Hcp,CAMERON HANDICAP
17-Sep-14,473,3,NSW,NEWCASTLE JC,NCLE,SPRING STAKES,1600,125000,3-Y-O,O,SW,NJC 3YO SPRING STAKES
17-Sep-14,296,4,WA,KALG-BOU RC,KALG,HANNAN'S HANDICAP,1400,130000,O,O,Qlty,HANNANS HANDICAP
18-Sep-14,672,3,NSW,NEWCASTLE JC,NCLE,TIBBIE STAKES,1400,125000,O,F&M,SWP,TIBBIE PLATE
18-Sep-14,381,3,NSW,NEWCASTLE JC,NCLE,NEWCASTLE CUP,2300,175000,O,O,Hcp,NEWCASTLE GOLD CUP
20-Sep-14,276,1,NSW,ATC,RAND,GEORGE MAIN STAKES,1600,350000,3YO&Up,O,WFA,GEORGE MAIN STAKES
20-Sep-14,506,2,NSW,ATC,RAND,TEA ROSE STAKES,1400,175000,3-Y-O,F,SW,TEA ROSE STAKES
20-Sep-14,308,2,NSW,ATC,RAND,HILL STAKES,2000,200000,3YO&Up,O,WFA,HILL STAKES
20-Sep-14,457,2,NSW,ATC,RAND,THE SHORTS,1100,200000,3YO&Up,O,SWP,THE SHORTS
20-Sep-14,582,3,NSW,ATC,RAND,BILL RITCHIE HANDICAP,1400,125000,3YO&Up,O,Qlty,BILL RITCHIE HANDICAP
20-Sep-14,464,4,NSW,ATC,RAND,HERITAGE STAKES,1100,100000,3-Y-O,O,SWP,HERITAGE STAKES
20-Sep-14,508,4,SA,SAJC,MORP,TOKYO CITY CUP,1800,80000,O,O,SWP,TOKYO CITY CUP
20-Sep-14,550,4,SA,SAJC,MORP,W H WYLIE HANDICAP,1100,80000,O,O,Qlty,W H WYLIE HANDICAP
20-Sep-14,521,1,VIC,MRC,CAUL,UNDERWOOD STAKES,1800,400000,3YO&Up,O,WFA,UNDERWOOD STAKES
20-Sep-14,656,3,VIC,MRC,CAUL,HOW NOW STAKES,1200,150000,4YO&Up,M,SWP,HOW NOW STAKES
20-Sep-14,440,3,VIC,MRC,CAUL,NATURALISM STAKES,2000,150000,O,O,Qlty,NATURALISM STAKES
20-Sep-14,319,4,WA,KALG-BOU RC,KALG,KALGOORLIE CUP,2300,150000,O,O,Qlty,KALGOORLIE CUP
26-Sep-14,363,1,VIC,MVRC,M V,A.J. MOIR STAKES,1200,450000,O,O,WFA,A.J. MOIR STAKES
26-Sep-14,369,2,VIC,MVRC,M V,BILL STUTT STAKES,1600,200000,3-Y-O,O,SW,MOONEE VALLEY STAKES
26-Sep-14,599,2,VIC,MVRC,M V,W H STOCKS STAKES,1600,200000,4YO&Up,M,WFA,W H STOCKS STAKES
26-Sep-14,525,3,VIC,MVRC,M V,CHAMPAGNE STAKES,1200,150000,3-Y-O,F,SW,MV CHAMPAGNE STAKES
26-Sep-14,641,3,VIC,MVRC,M V,JRA CUP,2040,200000,O,O,Qlty,JRA CUP
27-Sep-14,454,2,NSW,ATC,RHIL,SHANNON STAKES,1500,175000,3YO&Up,O,Qlty,SHANNON STAKES
27-Sep-14,479,2,NSW,ATC,RHIL,STAN FOX STAKES,1500,200000,3-Y-O,O,SW,STAN FOX STAKES
27-Sep-14,209,3,NSW,ATC,RHIL,COLIN STEPHEN QUALITY,2400,125000,3YO&Up,O,Qlty,COLIN STEPHEN QLTY HCP
27-Sep-14,281,3,NSW,ATC,RHIL,GLOAMING STAKES,1800,200000,3-Y-O,O,SW,GLOAMING STAKES
27-Sep-14,653,3,NSW,ATC,RHIL,GOLDEN PENDANT,1400,300000,3YO&Up,F&M,SWP,GOLDEN PENDANT
27-Sep-14,427,4,NSW,ATC,RHIL,REGINALD ALLEN QLTY HCP,1400,100000,3-Y-O,F,Qlty,REGINALD ALLEN QUALITY
27-Sep-14,743,4,VIC,MRC,SAND,HARRY WHITE CLASSIC,2400,120000,O,O,Hcp,R M ANSETT CLASSIC
28-Sep-14,348,1,VIC,MRC,CAUL,SIR RUPERT CLARKE STAKES,1400,400000,O,O,Hcp,INVITATION STAKES
28-Sep-14,300,2,VIC,MRC,CAUL,SCHWEPPES THOUSAND GUINEAS PRELUDE,1400,200000,3-Y-O,F,SWP,TRANQUIL STAR STAKES
28-Sep-14,458,3,VIC,MRC,CAUL,CAULFIELD GUINEAS PRELUDE,1400,175000,3-Y-O,C&G,SWP,CAULFIELD GUINEAS PRELUDE
28-Sep-14,721,4,VIC,MRC,CAUL,TESTA ROSSA STAKES,1200,120000,O,O,Hcp,TESTA ROSSA STAKES
04-Oct-14,261,1,NSW,ATC,RAND,FLIGHT STAKES,1600,400000,3-Y-O,F,SW,FLIGHT STAKES
04-Oct-14,16,1,NSW,ATC,RAND,THE METROPOLITAN,2400,400000,3YO&Up,O,Hcp,THE METROPOLITAN
04-Oct-14,14,1,NSW,ATC,RAND,EPSOM HCP,1600,500000,3YO&Up,O,Hcp,EPSOM HANDICAP
04-Oct-14,433,2,NSW,ATC,RAND,ROMAN CONSUL STAKES,1200,175000,3-Y-O,O,SW,ROMAN CONSUL STKS
