MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
12-Sep-15,663,3,NSW,ATC,RHIL,SHERACO STAKES,1200,125000,3YO&Up,F&M,SWP,SHERACO STAKES
12-Sep-15,373,4,SA,SAJC,MORP,LINDSAY PARK GUINEAS,1600,100000,3-Y-O,F,SW,MORPHETTVILLE GUINEAS
12-Sep-15,214,1,VIC,VRC,FLEM,MAKYBE DIVA STAKES,1600,400000,O,O,WFA,MAKYBE DIVA STAKES
12-Sep-15,145,2,VIC,VRC,FLEM,DANEHILL STAKES,1200,200000,3-Y-O,O,SWP,DANEHILL STAKES
12-Sep-15,360,2,VIC,VRC,FLEM,LET'S ELOPE STAKES,1400,200000,4YO&Up,M,SWP,MILADY STAKES
12-Sep-15,150,2,VIC,VRC,FLEM,BOBBIE LEWIS QUALITY,1200,200000,4YO&Up,O,Qlty,BOBBIE LEWIS QUALITY
12-Sep-15,720,4,VIC,VRC,FLEM,EXFORD PLATE,1400,120000,3-Y-O,O,SWP,EXFORD PLATE
12-Sep-15,739,4,VIC,VRC,FLEM,CAP D'ANTIBES STAKES,1100,120000,3-Y-O,F,SWP,CAP D'ANTIBES STAKES
12-Sep-15,933,4,VIC,VRC,FLEM,TONTONAN STAKES,1400,120000,4YO&Up,O,HCP,TONTONAN STAKES
18-Sep-15,381,3,NSW,NEWCASTLE JC,NCLE,NEWCASTLE CUP,2300,175000,O,O,Hcp,NEWCASTLE GOLD CUP
18-Sep-15,160,3,NSW,NEWCASTLE JC,NCLE,CAMERON HCP,1500,150000,O,O,Hcp,CAMERON HANDICAP
18-Sep-15,473,3,NSW,NEWCASTLE JC,NCLE,SPRING STAKES,1600,125000,3-Y-O,O,SW,NJC 3YO SPRING STAKES
18-Sep-15,672,3,NSW,NEWCASTLE JC,NCLE,TIBBIE STAKES,1400,125000,O,F&M,SWP,TIBBIE PLATE
19-Sep-15,276,1,NSW,ATC,RAND,GEORGE MAIN STAKES,1600,500000,3YO&Up,O,WFA,GEORGE MAIN STAKES
19-Sep-15,308,2,NSW,ATC,RAND,HILL STAKES,2000,200000,3YO&Up,O,WFA,HILL STAKES
19-Sep-15,457,2,NSW,ATC,RAND,THE SHORTS,1100,200000,3YO&Up,O,SWP,THE SHORTS
19-Sep-15,506,2,NSW,ATC,RAND,TEA ROSE STAKES,1400,175000,3-Y-O,F,SW,TEA ROSE STAKES
19-Sep-15,582,3,NSW,ATC,RAND,BILL RITCHIE HANDICAP,1400,125000,3YO&Up,O,Qlty,BILL RITCHIE HANDICAP
19-Sep-15,464,4,NSW,ATC,RAND,HERITAGE STAKES,1100,100000,3-Y-O,O,SWP,HERITAGE STAKES
19-Sep-15,508,4,SA,SAJC,MORP,TOKYO CITY CUP,1800,100000,O,O,SWP,TOKYO CITY CUP
19-Sep-15,550,4,SA,SAJC,MORP,W H WYLIE HANDICAP,1100,100000,O,O,Qlty,W H WYLIE HANDICAP
19-Sep-15,440,3,VIC,MRC,CAUL,NATURALISM STAKES,2000,150000,O,O,Qlty,NATURALISM STAKES
19-Sep-15,656,3,VIC,MRC,CAUL,WILLIAM HILL PRINT SERIES HEAT 2 STAKES,1200,150000,4YO&Up,M,SWP,HOW NOW STAKES
19-Sep-15,721,4,VIC,MRC,CAUL,TESTA ROSSA STAKES,1200,120000,O,O,Hcp,TESTA ROSSA STAKES
20-Sep-15,609,4,WA,KALG-BOU RC,KALG,BOULDER CUP,1760,110000,O,O,Qlty,BOULDER CUP
24-Sep-15,296,4,WA,KALG-BOU RC,KALG,HANNAN'S HANDICAP,1400,130000,O,O,Qlty,HANNANS HANDICAP
25-Sep-15,525,3,VIC,MVRC,M V,CHAMPAGNE STAKES,1200,150000,3-Y-O,F,SW,MV CHAMPAGNE STAKES
26-Sep-15,653,2,NSW,ATC,RHIL,GOLDEN PENDANT,1400,400000,3YO&Up,F&M,SWP,GOLDEN PENDANT
26-Sep-15,479,2,NSW,ATC,RHIL,STAN FOX STAKES,1500,200000,3-Y-O,O,SW,STAN FOX STAKES
26-Sep-15,454,2,NSW,ATC,RHIL,SHANNON STAKES,1500,175000,3YO&Up,O,Qlty,SHANNON STAKES
26-Sep-15,281,3,NSW,ATC,RHIL,GLOAMING STAKES,1800,200000,3-Y-O,O,SW,GLOAMING STAKES
26-Sep-15,209,3,NSW,ATC,RHIL,COLIN STEPHEN QUALITY,2400,125000,3YO&Up,O,Qlty,COLIN STEPHEN QLTY HCP
26-Sep-15,427,4,NSW,ATC,RHIL,REGINALD ALLEN QLTY HCP,1400,100000,3-Y-O,F,Qlty,REGINALD ALLEN QUALITY
26-Sep-15,521,1,VIC,MRC,CAUL,HYLAND RACE COLOURS UNDERWOOD STAKES,1800,400000,3YO&Up,O,WFA,UNDERWOOD STAKES
26-Sep-15,348,1,VIC,MRC,CAUL,SIR RUPERT CLARKE STAKES,1400,400000,O,O,Hcp,INVITATION STAKES
26-Sep-15,300,2,VIC,MRC,CAUL,SCHWEPPES THOUSAND GUINEAS PRELUDE,1400,200000,3-Y-O,F,SWP,TRANQUIL STAR STAKES
26-Sep-15,458,3,VIC,MRC,CAUL,BECK CAULFIELD GUINEAS PRELUDE,1400,175000,3-Y-O,C&G,SWP,CAULFIELD GUINEAS PRELUDE
26-Sep-15,743,4,VIC,MRC,CAUL,HARRY WHITE CLASSIC,2400,120000,O,O,Hcp,R M ANSETT CLASSIC
27-Sep-15,319,4,WA,KALG-BOU RC,KALG,KALGOORLIE CUP,2300,150000,O,O,Qlty,KALGOORLIE CUP
02-Oct-15,363,1,VIC,MVRC,M V,SCHWEPPES STAKES,1000,450000,O,O,WFA,A.J. MOIR STAKES
02-Oct-15,599,2,VIC,MVRC,M V,W H STOCKS STAKES,1600,200000,4YO&Up,M,WFA,W H STOCKS STAKES
02-Oct-15,369,2,VIC,MVRC,M V,BILL STUTT STAKES,1600,200000,3-Y-O,O,SW,MOONEE VALLEY STAKES
02-Oct-15,641,3,VIC,MVRC,M V,JRA CUP,2040,200000,O,O,Qlty,JRA CUP
03-Oct-15,14,1,NSW,ATC,RAND,EPSOM HCP,1600,1000000,3YO&Up,O,Hcp,EPSOM HANDICAP
03-Oct-15,16,1,NSW,ATC,RAND,THE METROPOLITAN,2400,750000,3YO&Up,O,Hcp,THE METROPOLITAN
03-Oct-15,261,1,NSW,ATC,RAND,FLIGHT STAKES,1600,500000,3-Y-O,F,SW,FLIGHT STAKES
03-Oct-15,407,2,NSW,ATC,RAND,PREMIERE STAKES,1200,300000,3YO&Up,O,WFA,PREMIERE STAKES
03-Oct-15,433,2,NSW,ATC,RAND,ROMAN CONSUL STAKES,1200,300000,3-Y-O,O,SW,ROMAN CONSUL STKS
